Release Date,Movie,Approx. Profit,Production Budget,RoI,Genre
9/25/2009,Paranormal Activity,"$89,331,872.00","$450,000.00",19851.53%,Horror
7/10/2015,The Gallows,"$6,745,996.00","$100,000.00",6746.00%,Horror
1/6/2012,The Devil Inside,"$37,316,634.00","$1,000,000.00",3731.66%,Horror
2/5/1953,Peter Pan,"$140,054,623.00","$4,000,000.00",3501.37%,Animation
6/16/1978,Grease,"$185,158,600.00","$6,000,000.00",3085.98%,Musical
3/21/2014,God’s Not Dead,"$33,913,047.00","$1,150,000.00",2948.96%,Special Interest
5/25/1977,Star Wars Ep. IV: A New Hope,"$322,763,383.00","$11,000,000.00",2934.21%,Sci-Fi/Fantasy
10/20/2010,Paranormal Activity 2,"$77,144,539.00","$3,000,000.00",2571.48%,Horror
4/1/2011,Insidious,"$34,703,023.00","$1,500,000.00",2313.53%,Horror
1/1/1946,It's a Wonderful Life,"$66,377,612.00","$3,180,000.00",2087.35%,Drama
12/15/1974,Young Frankenstein,"$57,603,112.00","$2,800,000.00",2057.25%,Comedy
10/23/1992,Reservoir Dogs,"$22,452,279.00","$1,200,000.00",1871.02%,Drama
6/20/1975,Jaws,"$223,381,828.00","$12,000,000.00",1861.52%,Horror
10/3/2014,Annabelle,"$98,450,141.00","$6,500,000.00",1514.62%,Horror
11/13/1991,Beauty and the Beast,"$296,183,646.00","$20,000,000.00",1480.92%,Animation
4/17/2015,Unfriended,"$13,367,421.00","$1,000,000.00",1336.74%,Horror
11/26/2010,The King’s Speech,"$196,489,454.00","$15,000,000.00",1309.93%,Drama
6/29/2012,Magic Mike,"$90,946,244.00","$7,000,000.00",1299.23%,Comedy
6/6/2014,The Fault in Our Stars,"$149,523,239.00","$12,000,000.00",1246.03%,Drama
5/25/2012,Chernobyl Diaries,"$12,344,533.00","$1,000,000.00",1234.45%,Horror
12/18/2009,Avatar,"$1,268,814,293.00","$425,000,000.00",298.54%,Sci-Fi/Fantasy
11/18/2005,Harry Potter and the Goblet of Fire,"$787,479,891.00","$150,000,000.00",524.99%,Fantasy
11/22/2013,Frozen,"$761,449,205.00","$150,000,000.00",507.63%,Animation
12/18/2015,Star Wars Ep. VII: The Force Awakens,"$756,253,581.00","$306,000,000.00",247.14%,Sci-Fi/Fantasy
5/4/2012,The Avengers,"$691,193,456.00","$225,000,000.00",307.20%,Sci-Fi/Fantasy
6/12/2015,Jurassic World,"$672,003,496.00","$215,000,000.00",312.56%,Sci-Fi/Fantasy
7/15/2011,Harry Potter and the Deathly Hallows: Part II,"$654,234,508.00","$125,000,000.00",523.39%,Fantasy
7/3/2013,Despicable Me 2,"$588,034,444.00","$76,000,000.00",773.73%,Animation
4/3/2015,Furious 7,"$581,008,743.00","$190,000,000.00",305.79%,Action/Adventure
7/7/2006,Pirates of the Caribbean: Dead Man's Chest,"$562,782,077.00","$225,000,000.00",250.13%,Action/Adventure
7/18/2008,The Dark Knight,"$553,894,896.00","$185,000,000.00",299.40%,Action/Adventure
7/10/2015,Minions,"$547,655,721.00","$74,000,000.00",740.08%,Animation
7/11/2007,Harry Potter and the Order of the Phoenix,"$524,817,192.00","$150,000,000.00",349.88%,Sci-Fi/Fantasy
6/18/2010,Toy Story 3,"$514,618,208.00","$200,000,000.00",257.31%,Animation
6/15/1994,The Lion King,"$474,799,282.00","$79,300,000.00",598.74%,Animation
5/1/2015,The Avengers: Age of Ultron,"$465,784,596.00","$250,000,000.00",186.31%,Sci-Fi/Fantasy
11/20/2009,The Twilight Saga: New Moon,"$462,385,426.00","$50,000,000.00",924.77%,Fantasy
7/2/2007,Transformers,"$454,378,552.00","$151,000,000.00",300.91%,Sci-Fi/Fantasy
11/19/2010,Harry Potter and the Deathly Hallows: Part I,"$453,166,246.00","$125,000,000.00",362.53%,Fantasy
6/30/2010,The Twilight Saga: Eclipse,"$449,212,429.00","$68,000,000.00",660.61%,Fantasy
